what,kind,bundleId,bundleVersion,description,time
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.2.I20110419-1700,"org.polarion.eclipse.team.svn.connector.svnkit15",1361859906938
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110419-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1361859906938
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16l,2.2.2.I20110419-1700,"org.polarion.eclipse.team.svn.connector.svnkit16l",1361859906938
os,sysinfo,,,"win32",1361859906942
arch,sysinfo,,,"x86",1361859906942
ws,sysinfo,,,"win32",1361859906942
locale,sysinfo,,,"en_PH",1361859906942
processors,sysinfo,,,"2",1361859906942
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361859906942
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1361859906942
java.specification.name,sysinfo,,,"Java Platform API Specification",1361859906942
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361859906942
java.specification.version,sysinfo,,,"1.6",1361859906942
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1361859906942
java.version,sysinfo,,,"1.6.0_31",1361859906942
java.vm.info,sysinfo,,,"mixed mode",1361859906942
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1361859906942
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361859906942
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361859906942
java.vm.specification.version,sysinfo,,,"1.0",1361859906942
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1361859906942
java.vm.version,sysinfo,,,"20.6-b01",1361859906942
started,bundle,org.eclipse.m2e.usagedata,1.0.0.201106061504,"org.eclipse.m2e.usagedata",1361859906946
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1361859908024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361859908959
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361859912846
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1361859915761
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1361859915764
started,bundle,org.jboss.tools.seam.core,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.core",1361859915849
started,bundle,org.jboss.tools.seam.ui,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.ui",1361859915850
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1361859915850
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1361859915850
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1361859915850
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1361859915852
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1361859915891
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1361859915893
